point_id,manual_class,manual_name,confidence,notes,longitude,latitude
0,1,Dense Forest,high,,92.19584932399053,23.62753351867586
1,1,Dense Forest,high,,92.52463271797828,22.1644474154304
2,4,Agriculture / Settlement,high,RF missed Dense Forest patch ,92.32143380071044,22.96376835523995
3,1,Dense Forest,high,,92.56882982995695,22.182234058055965
4,1,Dense Forest,high,,92.10098722998751,23.581180450015296
5,1,Dense Forest,high,,92.31846936027284,23.126543084722407
6,1,Dense Forest,high,,92.30930654437483,23.01119940224146
7,1,Dense Forest,high,,92.42141629183294,22.598333697660127
8,1,Dense Forest,high,,92.53649047972866,22.394595791221818
9,1,Dense Forest,high,,92.29879625555063,23.122500665943868
10,1,Dense Forest,high,,92.23869896304303,23.197959149809908
11,1,Dense Forest,high,,92.31981683319903,23.48658785059751
12,1,Dense Forest,medium,,92.32116430612521,22.966732795677544
13,1,Dense Forest,high,,92.31092351188624,23.124387128040517
14,1,Dense Forest,high,,92.29421484760162,23.033567452816033
15,1,Dense Forest,high,,92.11715690510167,22.86082142367985
16,1,Dense Forest,high,,92.26537892698138,23.186370882644766
17,1,Dense Forest,high,,92.24516683308869,23.3076434460009
18,1,Dense Forest,high,,92.21794787997987,22.76730680260301
19,1,Dense Forest,high,,92.39096340370129,23.255361496465145
20,1,Dense Forest,high,,92.36293596683676,23.187448860985707
21,1,Dense Forest,medium,,92.0355000457752,22.741974311590837
22,1,Dense Forest,high,,92.09775329496468,23.067523770555752
23,1,Dense Forest,high,,92.29475383677209,22.903940557317586
24,1,Dense Forest,medium,,92.53622098514342,22.1862764768345
25,1,Dense Forest,high,,92.16350997376223,23.501140558200245
26,1,Dense Forest,medium,,92.11203650798218,22.657622506412014
27,1,Dense Forest,high,,92.26349246488473,23.164811315825897
28,1,Dense Forest,high,,92.28720798838549,23.04030481744693
29,2,Degraded Forest/Jhum ,medium,,92.51546990208026,22.4921528310772
30,1,Dense Forest,low,,92.33787297040983,22.425318173938706
31,4,Agriculture / Settlement,medium,"""RF overclassified as Dense Forest, actual Agriculture/Settlement ",92.2346565442645,22.428552108961537
32,1,Dense Forest,high,,92.5308310934387,22.52934308383975
33,1,Dense Forest,medium,,92.27966213999888,23.221674673310662
34,2,Degraded Forest/Jhum ,medium,,92.29717928803922,22.917145791994145
35,1,Dense Forest,high,,92.23142260924166,22.409956982580262
36,1,Dense Forest,high,,92.49633578652852,22.70155012380546
37,1,Dense Forest,medium,,92.31200149022719,23.24458171305571
38,1,Dense Forest,high,,92.36131899932535,23.355074493002412
39,2,Degraded Forest/Jhum ,medium,,92.45294715830553,22.757604997534518
40,2,Degraded Forest/Jhum ,high,,92.14114192318765,22.542548318516303
41,2,Degraded Forest/Jhum ,low,,92.27588921580558,22.499968174049037
42,2,Degraded Forest/Jhum ,high,,92.15246069576756,23.191760774349483
43,2,Degraded Forest/Jhum ,medium,,92.12847567768156,22.824709149258247
44,1,Dense Forest,high,,92.44836575035653,22.332612036617572
45,1,Dense Forest,high,,92.33221358411987,22.76003044880164
46,2,Degraded Forest/Jhum ,low,,92.1077245946184,22.618006802382343
47,1,Dense Forest,medium,,92.31038452271576,22.561412939482814
48,1,Dense Forest,medium,,92.20501213988855,22.37680914859625
49,2,Degraded Forest/Jhum ,low,,92.4383944507028,22.614772867359513
50,2,Degraded Forest/Jhum ,low,,92.16135401708034,23.09582070200552
